ammenity,location,name,price,type,view,Column1,Cleaned_name,Number of Ammenity
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, 24 hours security, Mini Market",Selangor,"Single Room at Utropolis suites @ Glenmarie, Shah Alam",RM 650.00,Single Room,267,Views,Single Room at Utropolis suites  Glenmarie Shah Alam,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility",Selangor,"Bilik Kondominium Sewa : Zero Deposit, Queen-sized Bed, Female ONLY, Fully Furnish, Bandar Sunway, Subang Jaya",RM 700.00,Middle Room,173,Views,Bilik Kondominium Sewa  Zero Deposit Queensized Bed Female ONLY Fully Furnish Bandar Sunway Subang Jaya,7
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Train, Near Bus stop, 24 hours security, Mini Market",Petaling Jaya,ZERO DEPOSIT🔥SURIAMAS🏠QUEEN/SINGLE BED,RM 750.00,Middle Room,100,Views,ZERO DEPOSITSURIAMASQUEENSINGLE BED,10
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near KTM / LRT, Near KTM, Near Train, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Surau",Selangor,Single Room in Astetica Residence,RM 650.00,Single Room,41,Views,Single Room in Astetica Residence,14
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop",Puchong,"intimate 0% Deposit ~ Single Room Taman Wawasan, Pusat Bandar Puchong",RM 480.00,Single Room,73,Views,intimate 0 Deposit  Single Room Taman Wawasan Pusat Bandar Puchong,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom, Near Bus stop",Shah Alam,"Single Room at Subang Bestari, Subang",RM 480.00,Single Room,107,Views,Single Room at Subang Bestari Subang,5
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Private Bathroom, Near KTM / LRT, Near LRT / MRT, Near LRT, Near Train, Covered car park",Selangor,"Middle Room at SS2, Petaling Jaya",RM 470.00,Middle Room,27,Views,Middle Room at SS2 Petaling Jaya,11
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,"Single Room at Casa Residenza, Kota Damansara Segi University Tropicana Garden Mall Nexis Thomson Hospital",RM 590.00,Single Room,269,Views,Single Room at Casa Residenza Kota Damansara Segi University Tropicana Garden Mall Nexis Thomson Hospital,15
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Playground, Mini Market",Petaling Jaya,"Palm Spring Condo, Kota Damansara Middle Room Fully Furnished 8 mins Walking Distance to MRT",RM 600.00,Middle Room,390,Views,Palm Spring Condo Kota Damansara Middle Room Fully Furnished 8 mins Walking Distance to MRT,12
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, Near MRT, 24 hours security",Selangor,"Master Room at Bandar Utama 🚶Walking Distance to 1 powerhouse, MRT Bandar Utama, One Utama 🚗Easy Access to PJ Uptown, Starling Mall, Atria, IKEA",RM 850.00,Master Room,569,Views,Master Room at Bandar Utama Walking Distance to 1 powerhouse MRT Bandar Utama One Utama Easy Access to PJ Uptown Starling Mall Atria IKEA,7
